SMILES,status,old_value,new_value,comments
2847725,CHANGED,188.1,460.1,nist['wrong value - change value to kelvin']
109193,CHANGED,175.7,448.85,nist['wrong value - change value to kelvin']
5794036,CHANGED,319.15,432.7,
760123,DELETED,337.85,None,nist['wrong value - should be around 512k']
1601736,DELETED,369.15,None,nist['wrong value - should be around 502k']
77736,DELETED,359.15,None,nist['confirmed value - reference of 1990 is right (443.2)]
32665239,CHANGED,141.8,414.95,nist['wrong value - change value to kelvin']
16885997,CHANGED,349.15,529.35,nist['wrong value - should be around 529k']
79958,CHANGED,392.85,666.05,nist['wrong value - should be around 675k']
55554091,DELETED,411.15,None,nist['wrong value - should be around 570k']
40571457,DELETED,273.15,None,nist['wrong value - should be around 390k']
5440891,DELETED,366.15,None,nist['wrong value - should be around 490k']
51771687,DELETED,385.0,None,nist['wrong value - should be around 504k']
122725,DELETED,500.15,None,nist['wrong value - should be around 520k']
4744096,CHANGED,146.5,419.65,nist['wrong value - change value to kelvin']
630013,DELETED,534.15,None,nist['wrong value - should be around 700k']
5223596,DELETED,665.67,None,nist['wrong value - should be around 560k']
1530058,DELETED,506.15,None,nist['wrong value - should be around 605k']
32398677,DELETED,402.0,None,nist['wrong value - should be around 560k']
2117115,CHANGED,300.45,399.65,nist['confirmed value - reference of 1990 is right (399.7)]
56052143,DELETED,448.65,None,nist['wrong value - should be around 558k']
100072,CHANGED,417.15,535.65,nist['wrong value - should be around 537k']
21542961,DELETED,593.1,None,nist['wrong value - should be around 650k']
2396852,DELETED,387.15,None,nist['wrong value - should be around 500k']
22644286,DELETED,367.15,None,nist['wrong value - should be around 470k']
821114,DELETED,373.1,None,nist['wrong value - should be around 490k']
13002089,DELETED,372.45,None,nist['wrong value - should be around 500k']
105828,DELETED,367.85,None,nist['confirmed value - reference of 1925 is right (417.0)]
871227,CHANGED,415.5,459.0,nist['confirmed value - reference of 1925 is right (459.0)]
24893354,DELETED,347.05,None,nist['wrong value - should be around 470k']
624204,DELETED,360.15,None,nist['wrong value - should be around 490k']
6423025,DELETED,355.65,None,nist['wrong value - should be around 490k']
2040075,CHANGED,383.15,519.7,nist['wrong value - should be around 475k']
288880,CHANGED,477.15,533.2,nist['confirmed value - reference of 1990 is right (533.2)]
106332,CHANGED,463.15,542.15,nist['wrong value - should be around 540k']
7119940,DELETED,394.7,None,nist['wrong value - should be around 520k']
94508,DELETED,532.55,None,nist['wrong value - should be around 590k']
29619645,DELETED,379.15,None,nist['wrong value - should be around 506k']
2177879,DELETED,374.15,None,nist['wrong value - should be around 485k']
